Time (hours),Spring Mean,Spring Std,Summer Mean,Summer Std,Autumn Mean,Autumn Std
614.005400540054,461.2,76.61827458250414,430.8,66.54291848123286,418.3,75.60958933891916
614.0774077407741,461.2,76.61827458250414,431.0,66.57176578700613,418.3,75.60958933891916
614.1494149414941,461.2,76.61827458250414,431.2,66.4587089853542,418.4,75.78416721189195
614.2214221422142,461.2,76.61827458250414,431.2,66.4587089853542,418.4,75.78416721189195
614.2934293429344,461.2,76.61827458250414,431.2,66.4587089853542,418.4,75.78416721189195
614.3654365436544,461.2,76.61827458250414,431.2,66.4587089853542,418.4,75.78416721189195
614.4374437443745,461.3,76.52457121735476,431.3,66.438016225652,418.4,75.78416721189195
614.5094509450945,461.3,76.52457121735476,431.3,66.438016225652,418.4,75.78416721189195
614.5814581458146,461.3,76.52457121735476,431.3,66.438016225652,418.4,75.78416721189195
614.6534653465346,461.3,76.52457121735476,431.3,66.438016225652,418.5,75.7142654986496
614.7254725472548,461.4,76.60704928399214,431.3,66.438016225652,418.5,75.7142654986496
614.7974797479748,461.4,76.60704928399214,431.5,66.442832570564,418.6,75.61375536236777
614.8694869486949,461.4,76.60704928399214,431.5,66.442832570564,418.6,75.61375536236777
614.941494149415,461.5,76.43461257833391,431.6,66.52247740425787,418.6,75.61375536236777
615.013501350135,461.5,76.43461257833391,431.6,66.52247740425787,418.6,75.61375536236777
615.0855085508551,461.6,76.38743352148964,431.6,66.52247740425787,418.6,75.61375536236777
615.1575157515751,461.6,76.38743352148964,431.7,66.4741303064583,418.7,75.69022393942298
615.2295229522953,461.6,76.38743352148964,432.0,66.43493057119876,418.7,75.69022393942298
615.3015301530153,461.7,76.49581687909476,432.0,66.43493057119876,418.8,75.73083916080688
615.3735373537354,462.0,76.42643521714199,432.1,66.54088968446395,418.9,75.77262038493852
615.4455445544554,462.0,76.42643521714199,432.2,66.46924100664907,418.9,75.77262038493852
615.5175517551755,462.2,76.45495405792877,432.2,66.46924100664907,419.0,75.84985168080422
615.5895589558957,462.3,76.56898850056726,432.4,66.48638958463604,419.1,75.89262151223926
615.6615661566157,462.4,76.67750648006232,432.4,66.48638958463604,419.2,75.73083916080687
615.7335733573358,462.4,76.67750648006232,432.4,66.48638958463604,419.3,75.90526990927573
615.8055805580558,462.5,76.63060746203178,432.5,66.44885251078456,419.4,75.86857056779178
615.8775877587759,462.5,76.63060746203178,432.5,66.44885251078456,419.4,75.86857056779178
615.9495949594959,462.5,76.63060746203178,432.7,66.49217999133432,419.4,75.86857056779178
