Time (hours),Mean surface MP concentration,Standard deviation
0.0,76000.0,0.0
0.07200720072007201,76000.0,0.0
0.14401440144014402,76000.0,0.0
0.21602160216021604,76000.0,0.0
0.28802880288028804,76000.0,0.0
0.36003600360036003,76000.0,0.0
0.4320432043204321,76000.0,0.0
0.504050405040504,76000.0,0.0
0.5760576057605761,76000.0,0.0
0.6480648064806481,76000.0,0.0
0.7200720072007201,76000.0,0.0
0.7920792079207921,76000.0,0.0
0.8640864086408642,76000.0,0.0
0.9360936093609361,76000.0,0.0
1.008100810081008,76000.0,0.0
1.08010801080108,76000.0,0.0
1.1521152115211521,76000.0,0.0
1.2241224122412242,76000.0,0.0
1.2961296129612963,76000.0,0.0
1.368136813681368,76000.0,0.0
1.4401440144014401,76000.0,0.0
1.5121512151215122,76000.0,0.0
1.5841584158415842,76000.0,0.0
1.6561656165616563,76000.0,0.0
1.7281728172817283,76000.0,0.0
1.8001800180018002,76000.0,0.0
1.8721872187218722,76000.0,0.0
1.9441944194419443,76000.0,0.0
2.016201620162016,76000.0,0.0
2.0882088208820884,76000.0,0.0
2.16021602160216,76000.0,0.0
2.2322232223222325,76000.0,0.0
2.3042304230423043,76000.0,0.0
2.376237623762376,76000.0,0.0
2.4482448244824484,76000.0,0.0
2.5202520252025202,76000.0,0.0
2.5922592259225925,76000.0,0.0
2.6642664266426643,76000.0,0.0
2.736273627362736,76000.0,0.0
2.8082808280828084,76000.0,0.0
2.8802880288028803,76000.0,0.0
2.9522952295229525,76000.0,0.0
3.0243024302430244,76000.0,0.0
3.096309630963096,76000.0,0.0
3.1683168316831685,76000.0,0.0
3.2403240324032403,76000.0,0.0
3.3123312331233126,76000.0,0.0
3.3843384338433844,76000.0,0.0
3.4563456345634567,76000.0,0.0
3.5283528352835285,76000.0,0.0
3.6003600360036003,76000.0,0.0
3.6723672367236726,76000.0,0.0
3.7443744374437444,76000.0,0.0
3.8163816381638167,76000.0,0.0
3.8883888388838885,76000.0,0.0
3.9603960396039604,76000.0,0.0
4.032403240324032,76000.0,0.0
4.104410441044105,76000.0,0.0
4.176417641764177,76000.0,0.0
4.248424842484249,76000.0,0.0
4.32043204320432,76000.0,0.0
4.392439243924392,76000.0,0.0
4.464446444644465,76000.0,0.0
4.536453645364537,76000.0,0.0
4.608460846084609,76000.0,0.0
4.68046804680468,76000.0,0.0
4.752475247524752,76000.0,0.0
4.824482448244825,76000.0,0.0
4.896489648964897,76000.0,0.0
4.968496849684969,76000.0,0.0
5.0405040504050405,76000.0,0.0
5.112511251125112,76000.0,0.0
5.184518451845185,76000.0,0.0
5.256525652565257,76000.0,0.0
5.328532853285329,76000.0,0.0
5.4005400540054005,76000.0,0.0
5.472547254725472,76000.0,0.0
5.544554455445545,76000.0,0.0
5.616561656165617,76000.0,0.0
5.688568856885689,76000.0,0.0
5.7605760576057605,76000.0,0.0
5.832583258325832,76000.0,0.0
5.904590459045905,76000.0,0.0
5.976597659765977,76000.0,0.0
6.048604860486049,76000.0,0.0
6.120612061206121,76000.0,0.0
6.192619261926192,76000.0,0.0
6.264626462646265,76000.0,0.0
6.336633663366337,76000.0,0.0
6.408640864086409,76000.0,0.0
6.480648064806481,76000.0,0.0
6.552655265526552,76000.0,0.0
6.624662466246625,76000.0,0.0
6.696669666966697,76000.0,0.0
6.768676867686769,76000.0,0.0
6.840684068406841,76000.0,0.0
6.912691269126913,76000.0,0.0
6.984698469846985,76000.0,0.0
7.056705670567057,76000.0,0.0
7.128712871287129,76000.0,0.0
7.200720072007201,76000.0,0.0
7.272727272727273,76000.0,0.0
7.344734473447345,76000.0,0.0
7.416741674167417,76000.0,0.0
7.488748874887489,76000.0,0.0
7.560756075607561,76000.0,0.0
7.632763276327633,76000.0,0.0
7.704770477047705,76000.0,0.0
7.776777677767777,76000.0,0.0
7.848784878487849,76000.0,0.0
7.920792079207921,76000.0,0.0
7.992799279927993,75999.9,0.30000000000000004
8.064806480648064,75999.9,0.30000000000000004
8.136813681368137,75999.9,0.30000000000000004
8.20882088208821,75999.9,0.30000000000000004
8.28082808280828,75999.9,0.30000000000000004
8.352835283528353,75999.6,0.66332495807108
8.424842484248424,75999.6,0.66332495807108
8.496849684968497,75999.6,0.66332495807108
8.56885688568857,75999.6,0.66332495807108
8.64086408640864,75999.6,0.66332495807108
8.712871287128714,75999.3,0.8999999999999999
8.784878487848784,75999.3,0.8999999999999999
8.856885688568857,75999.3,0.8999999999999999
