CruiseTow,CruiseName,Event,GridLine,GridStation,NorthSouthFar,Offshore,VolumeFilteredM3,DensES7,DensES8,DensES9,DensES10,DensES11,DensES12,DensES13,DensES14,DensES15,DensES16,DensES17,DensES18,DensES19,DensES20,DensES21,DensES22,DensES23,DensES24,DensES25,DensES26,DensES27,DensES28,DensES29,DensES30,DensES31,DensES32,DensES33,DensES34,DensES35,DensES36,DensES37,DensES38,DensES39,DensES40,DensES41,DensES42,DensES43,DensES44,DensES45,DensES46,DensES47,DensES48,DensES49,DensES50,DensES51,DensES52,DensES53,DensES54,DensES55,DensES56,DensES57,DensES58,DensES59,DensES60,DensES61,DensES62,DensES63,DensES64,DensES65
240011,LMG16-01,60,600,100,North,Shelf,9479.1,0,0,0,0,0,0,0,0,0,0,1.4907,1.4907,2.9813,1.4907,5.9626,7.4533,10.4346,11.9252,16.3972,22.3598,10.4346,16.3972,7.4533,5.9626,5.9626,4.472,1.4907,2.9813,1.4907,0,1.4907,0,0,0,0,0,0,0,0,1.4907,0,0,0,1.4907,0,0,0,0,0,0,2.9813,1.4907,1.4907,0,0,0,0,0,0
240013,LMG16-01,74,600,200,North,Slope,7718.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1296,0,0.1296,0.1296,0,0,0,0,0,0,0,0,0,0,0,0
240015,LMG16-01,82,500,200,North,Slope,9204.8,0,0,0,0,0,0,0,0,0,0,0,1.4721,0,4.4162,7.3603,11.7764,30.9131,33.8572,20.6088,19.1367,11.7764,1.4721,1.4721,1.4721,0,0,0,0,0,0,1.4721,0,0.1186,0,0,0.2372,0.3558,0.4744,0.593,0.9488,0.9488,1.5418,1.0674,0.9488,0.9488,1.5418,0.4744,1.5418,0.8302,1.0674,0.1186,0.2372,0.2372,0,0,0,0,0,0
240017,LMG16-01,100,500,100,North,Shelf,7457.2,0,0,0,0,0,1.2531,0,0,1.2531,0,0,0,0,0,1.2531,2.5062,0,2.5062,6.2654,1.2531,2.5062,6.2654,7.5185,3.7593,6.2654,0,3.7593,5.0124,8.7716,3.7593,11.2778,5.0124,8.7716,5.0124,2.5062,8.7716,6.2654,3.7593,5.0124,1.2531,3.7593,7.5185,5.0124,3.7593,0,2.5062,2.5062,2.5062,0,0,0,0,0,0,0,0,0,0,0
240019,LMG16-01,110,500,60,North,Shelf,4877.1,0,0,0,0,0,0,0,0,0,0,0.205,0,0.205,0.4101,0.205,0,0,0,0,0,0,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0,0.205,0.205,0.6151,0.6151,0,0.4101,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240021,LMG16-01,121,400,40,North,Coast,5153.7,0,0,0,0,0,0,0,1.6964,3.3927,3.3927,5.0891,1.6964,0,6.7854,6.7854,5.0891,15.2672,11.8745,8.4818,15.2672,8.4818,10.1782,8.4818,3.3927,1.6964,1.6964,1.6964,1.6964,1.6964,0,1.6964,1.6964,1.6964,1.6964,1.6964,5.0891,6.7854,6.7854,0,5.0891,3.3927,1.6964,3.3927,3.3927,1.6964,0,0,1.6964,0,0,0,0,0,0,0,0,0,0,0
240023,LMG16-01,135,400,100,North,Shelf,5903,0,0,0,0,0,0.6285,0.6285,0,0.6285,3.7709,5.0279,5.6564,6.9134,7.5419,6.2849,6.2849,9.4274,3.1425,2.514,1.257,1.8855,0.6285,0.6285,0,0,0,0,0,0,0,0,0,0.3388,0.3388,0.6776,0.1694,1.0164,0.3388,0.1694,0.5082,0.5082,0.3388,0.1694,0,0,0,0.1694,0,0,0,0,0,0,0,0,0,0,0,0
240025,LMG16-01,154,400,200,North,Slope,6294.2,0,0,0,0,0,0,0,0,0.1589,0.4766,0.7944,0.4766,1.4299,1.4299,2.0654,1.7476,2.542,1.5888,0.3178,1.1121,0.4766,0,0,0,0.1589,0,0,0,0,0,0,0.1589,0,0,0,0.1589,0.1589,0.1589,0.1589,0.3178,0,0,0.6355,0,0,0.1589,0,0,0.1589,0,0,0,0,0,0,0,0,0,0
240027,LMG16-01,163,300,200,South,Slope,4161.8,0,0,0,0,0,0,0,0,0.2403,0,0,0,0,0,0.2403,0.2403,0,0,0,0.2403,0,0,0.2403,0,0,0,0,0,0,0,0,0,0,0,0.2403,0,0,0,0,0.4806,0,0,0,0,0,0.2403,0,0,0,0,0,0,0,0,0,0,0,0,0
240029,LMG16-01,184,300,100,South,Shelf,4372.8,0,0,0,0,0,0,0,0.2287,0,0.4574,0.6861,1.8295,2.2869,2.7443,3.659,5.7172,3.2016,4.1164,1.6008,0.2287,0.4574,0.2287,0,0,0.2287,0,0.4574,0.2287,0.6861,0,0.9148,0.2287,1.1434,0,0.2287,0,0.2287,0,0,0,0.6861,0,0.2287,0.2287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240031,LMG16-01,196,300,40,South,Coast,7094,0,0,0,0,0,0,0.141,0,0,0,0,0.141,0.2819,0.7048,0.9867,0.8458,0.8458,0.8458,0.2819,0,0,0,0,0.4229,0.141,0,0,0,0.2819,0.7048,0.141,0.2819,0.2819,0.141,0.141,0.141,0.4229,0,0.141,0.2819,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240033,LMG16-01,205,200,40,South,Coast,7703.4,0.1298,0.1298,0.1298,0,0.1298,0,0.2596,0.5193,0.3894,0.7789,0.6491,2.4665,1.2981,0.7789,0.5193,0.6491,0.5193,0.3894,0,0.2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1298,0.1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240036,LMG16-01,221,200,100,South,Shelf,6626.6,0,0,0,0,0,0,0,0.2701,0,0,0,0,0,0,0.8104,0,0.2701,0.8104,0.5402,0.5402,0.5402,0,1.0805,0.5402,0,0.2701,0.2701,0.8104,1.0805,0.8104,2.161,1.0805,0.8104,0.8104,0.8104,1.0805,2.161,1.8909,1.3506,0.5402,1.8909,1.0805,0.2701,0.2701,1.6207,0,0.5402,0,0,0,0,0,0,0,0,0,0,0,0
