time_hours,mean_accum_20,std_accum_20,mean_accum_40,std_accum_40,mean_accum_60,std_accum_60,mean_accum_80,std_accum_80
306.75067506750673,202.5,30.06409819036653,188.1,26.101532522057017,167.6,23.639796953442726,151.5,22.79144576370705
306.82268226822686,202.6,30.000666659259423,188.1,26.101532522057017,167.6,23.639796953442726,151.6,22.817537115122658
306.8946894689469,202.7,30.146475747589466,188.2,26.095210288480146,167.6,23.639796953442726,151.6,22.817537115122658
306.966696669667,202.8,30.29455396601838,188.2,26.095210288480146,167.6,23.639796953442726,151.6,22.817537115122658
307.03870387038705,202.8,30.29455396601838,188.4,26.027677575995902,167.6,23.639796953442726,151.6,22.817537115122658
307.1107110711071,202.9,30.233921346725765,188.5,26.204007327124604,167.6,23.639796953442726,151.6,22.817537115122658
307.1827182718272,202.9,30.233921346725765,188.6,26.058395959843725,167.6,23.639796953442726,151.6,22.817537115122658
307.25472547254725,203.0,30.420387900222444,188.6,26.058395959843725,167.6,23.639796953442726,151.6,22.817537115122658
307.3267326732673,203.1,30.608658905610355,188.8,26.02229813064173,167.9,23.661994844053197,151.6,22.817537115122658
307.3987398739874,203.1,30.608658905610355,188.8,26.02229813064173,168.0,23.727621035409346,151.6,22.817537115122658
307.4707470747075,203.2,30.756462735496747,188.8,26.02229813064173,168.0,23.727621035409346,151.6,22.817537115122658
307.54275427542757,203.2,30.756462735496747,188.8,26.02229813064173,168.2,23.865456207665503,151.7,22.68060845744664
307.61476147614763,203.3,30.7312544488506,188.8,26.02229813064173,168.2,23.865456207665503,151.7,22.68060845744664
307.6867686768677,203.4,30.682894257224174,188.8,26.02229813064173,168.2,23.865456207665503,151.8,22.85519634568909
307.75877587758777,203.4,30.682894257224174,188.8,26.02229813064173,168.3,23.828764130772708,151.8,22.85519634568909
307.83078307830783,203.5,30.516389039334257,188.9,25.997884529322768,168.3,23.828764130772708,152.0,22.856071403458643
307.9027902790279,203.5,30.516389039334257,189.0,25.853433040894203,168.3,23.828764130772708,152.1,22.884274076317123
