Pellet ID,Time (hours),Depth (m)
3,12.025202520252025,100.35808909850473
3,12.097209720972097,100.71602477963087
3,12.16921692169217,101.07380766354795
3,12.241224122412241,101.43143836532754
3,12.313231323132314,101.78891749500517
3,12.385238523852385,102.14624565764133
3,12.457245724572457,102.50342345338147
3,12.52925292529253,102.860451477515
3,12.601260126012601,103.21733032053339
3,12.673267326732674,103.57406056818742
3,12.745274527452745,103.93064280154339
3,12.817281728172818,104.28707759703855
3,12.88928892889289,104.64336552653563
3,12.961296129612961,104.99950715737658
3,13.033303330333034,105.35550305243535
3,13.105310531053105,105.71135377016998
3,13.177317731773178,106.06705986467382
3,13.24932493249325,106.42262188572602
3,13.321332133213321,106.77804037884118
3,13.393339333933394,107.13331588531834
3,13.465346534653465,107.48844894228907
3,13.537353735373538,107.84344008276504
3,13.60936093609361,108.19828983568473
3,13.681368136813681,108.55299872595945
3,13.753375337533754,108.90756727451875
3,13.825382538253827,109.26199599835509
3,13.897389738973898,109.61628541056785
3,13.96939693969397,109.97043602040675
3,14.041404140414041,110.32444894449662
3,14.113411341134114,110.67832496985392
3,14.185418541854187,111.03206459312396
3,14.257425742574258,111.38566830727869
3,14.32943294329433,111.73913660165687
3,14.401440144014401,112.09246996200369
3,14.473447344734474,112.44566887050983
3,14.545454545454547,112.7987338058499
3,14.617461746174618,113.15166524322044
3,14.68946894689469,113.5044636543772
3,14.761476147614761,113.85712950767217
3,14.833483348334834,114.20966326808976
3,14.905490549054907,114.56206539728271
3,14.977497749774978,114.91433635360741
3,15.04950495049505,115.26647659215871
3,15.121512151215121,115.61848656480429
3,15.193519351935194,115.9703667202185
3,15.265526552655267,116.32211750391576
3,15.337533753375338,116.67373935828354
3,15.40954095409541,117.02523272261479
3,15.481548154815481,117.37659803313998
3,15.553555355535554,117.72783572305876
3,15.625562556255627,118.07894622257106
3,15.697569756975698,118.42992995890788
3,15.76957695769577,118.78078735636159
3,15.841584158415841,119.13151883631588
3,15.913591359135914,119.48212481727525
3,15.985598559855987,119.83260571489414
3,16.05760576057606,120.1829619420057
3,16.12961296129613,120.53319390865009
3,16.2016201620162,120.88330202210247
3,16.273627362736274,121.23328668690063
3,16.345634563456347,121.5831483048722
3,16.41764176417642,121.93288727516155
3,16.48964896489649,122.28250399425632
3,16.56165616561656,122.63199885601358
3,16.633663366336634,122.98137225168573
3,16.705670567056707,123.33062456994594
3,16.77767776777678,123.67975619691337
3,16.84968496849685,124.02876751617802
3,16.92169216921692,124.37765890882525
3,16.993699369936994,124.72643075346002
3,17.065706570657067,125.07508342623076
3,17.13771377137714,125.42361730085304
3,17.20972097209721,125.77203274863282
3,17.28172817281728,126.12033013848949
3,17.353735373537354,126.46850983697857
3,17.425742574257427,126.81657220831417
3,17.4977497749775,127.16451761439112
3,17.56975697569757,127.51234641480687
3,17.64176417641764,127.86005896688309
3,17.713771377137714,128.20765562568698
3,17.785778577857787,128.5551367440524
3,17.85778577857786,128.90250267260058
3,17.92979297929793,129.24975375976078
3,18.001800180018,129.5968903517906
3,18.073807380738074,129.94391279279586
3,18.145814581458147,130.29082142475067
3,18.21782178217822,130.6376165875168
3,18.28982898289829,130.98429861886305
3,18.36183618361836,131.33086998553645
3,18.433843384338434,131.67733120851173
3,18.505850585058507,132.02368261659777
3,18.57785778577858,132.36992453660142
3,18.64986498649865,132.71605729334559
3,18.72187218721872,133.06208120968705
3,18.793879387938794,133.40799660653406
3,18.865886588658867,133.75380380286376
3,18.93789378937894,134.0995031157394
3,19.00990099009901,134.44509486032732
3,19.08190819081908,134.79057934991374
3,19.153915391539154,135.1359568959214
3,19.225922592259227,135.48122780792596
3,19.2979297929793,135.8263923936722
3,19.36993699369937,136.17145095909004
3,19.44194419441944,136.51640380831046
3,19.513951395139514,136.8612512436811
3,19.585958595859587,137.20599356578174
3,19.65796579657966,137.55063107343963
3,19.72997299729973,137.89516406374466
3,19.801980198019802,138.23959283206418
3,19.873987398739875,138.58391767205794
3,19.945994599459947,138.92813887569267
3,20.01800180018002,139.27225673325646
3,20.09000900090009,139.61627153337315
3,20.162016201620162,139.9601835630164
3,20.234023402340235,140.30399310752367
3,20.306030603060307,140.64770045061007
3,20.37803780378038,140.99130587438202
3,20.45004500450045,141.3348096593507
3,20.522052205220522,141.67821208444545
3,20.594059405940595,142.021513427027
3,20.666066606660667,142.3647139629005
3,20.73807380738074,142.70781396632853
3,20.81008100810081,143.05081371004368
3,20.882088208820882,143.39371346526144
3,20.954095409540955,143.73651350169254
3,21.026102610261027,144.07921408755536
3,21.0981098109811,144.42181548958817
3,21.17011701170117,144.76431797306122
3,21.242124212421242,145.10672180178875
3,21.314131413141315,145.44902723814073
3,21.386138613861387,145.79123454305468
3,21.45814581458146,146.13334397604723
3,21.53015301530153,146.4753557952255
3,21.602160216021602,146.81727025729862
3,21.674167416741675,147.1590876175887
3,21.746174617461747,147.5008081300422
3,21.81818181818182,147.8424320472407
3,21.89018901890189,148.18395962041188
3,21.962196219621962,148.5253910994403
3,22.034203420342035,148.86672673287794
3,22.106210621062107,149.20796676795476
3,22.17821782178218,149.54911145058918
3,22.25022502250225,149.89016102539836
3,22.322232223222322,150.23111573570836
3,22.394239423942395,150.57197582356426
3,22.466246624662467,150.91274152974023
3,22.53825382538254,151.25341309374932
3,22.61026102610261,151.59399075385326
3,22.682268226822682,151.93447474707222
3,22.754275427542755,152.27486530919435
3,22.826282628262828,152.61516267478527
3,22.8982898289829,152.95536707719745
3,22.97029702970297,153.29547874857957
3,23.042304230423042,153.6354979198857
