Time,Break_Chance,Mean_Accumulation,Std_Accumulation
6.85068506850685,0.2,0.0,0.0
6.900690069006901,0.2,0.0,0.0
6.95069506950695,0.2,0.0,0.0
7.000700070007,0.2,0.0,0.0
7.050705070507051,0.2,0.0,0.0
7.1007100710071,0.2,0.0,0.0
7.15071507150715,0.2,0.0,0.0
7.200720072007201,0.2,0.0,0.0
7.25072507250725,0.2,0.0,0.0
7.3007300730073,0.2,0.0,0.0
7.350735073507351,0.2,0.0,0.0
7.4007400740074,0.2,0.0,0.0
7.45074507450745,0.2,0.0,0.0
7.500750075007501,0.2,0.0,0.0
7.55075507550755,0.2,0.0,0.0
7.6007600760076,0.2,0.0,0.0
7.650765076507651,0.2,0.0,0.0
7.7007700770077,0.2,0.0,0.0
7.75077507750775,0.2,0.0,0.0
7.800780078007801,0.2,0.0,0.0
7.85078507850785,0.2,0.0,0.0
7.9007900790079,0.2,0.0,0.0
7.950795079507951,0.2,0.0,0.0
8.000800080008,0.2,0.0,0.0
8.05080508050805,0.2,0.0,0.0
8.1008100810081,0.2,0.0,0.0
8.150815081508151,0.2,0.0,0.0
8.2008200820082,0.2,0.0,0.0
8.25082508250825,0.2,0.0,0.0
8.3008300830083,0.2,0.0,0.0
8.35083508350835,0.2,0.0,0.0
8.4008400840084,0.2,0.0,0.0
8.450845084508451,0.2,0.0,0.0
8.5008500850085,0.2,0.0,0.0
8.55085508550855,0.2,0.0,0.0
8.6008600860086,0.2,0.0,0.0
8.65086508650865,0.2,0.0,0.0
8.7008700870087,0.2,0.0,0.0
8.750875087508751,0.2,0.0,0.0
8.8008800880088,0.2,0.0,0.0
8.85088508850885,0.2,0.0,0.0
8.9008900890089,0.2,0.0,0.0
8.95089508950895,0.2,0.0,0.0
9.000900090009,0.2,0.0,0.0
9.050905090509051,0.2,0.0,0.0
9.1009100910091,0.2,0.0,0.0
9.15091509150915,0.2,0.0,0.0
9.2009200920092,0.2,0.0,0.0
9.25092509250925,0.2,0.0,0.0
9.3009300930093,0.2,0.0,0.0
9.350935093509351,0.2,0.0,0.0
9.4009400940094,0.2,0.0,0.0
9.45094509450945,0.2,0.0,0.0
9.5009500950095,0.2,0.0,0.0
9.55095509550955,0.2,0.0,0.0
9.6009600960096,0.2,0.0,0.0
9.650965096509651,0.2,0.0,0.0
9.7009700970097,0.2,0.0,0.0
9.75097509750975,0.2,0.0,0.0
9.8009800980098,0.2,0.0,0.0
9.85098509850985,0.2,0.0,0.0
9.900990099009901,0.2,0.0,0.0
9.950995099509951,0.2,0.0,0.0
10.00100010001,0.2,0.0,0.0
10.05100510051005,0.2,0.0,0.0
10.1010101010101,0.2,0.0,0.0
10.15101510151015,0.2,0.0,0.0
10.201020102010201,0.2,0.0,0.0
