Pellet ID,Time (hours),Depth (m)
6,24.05040504050405,100.43293736571972
6,24.122412241224122,100.86565056117306
6,24.194419441944195,101.29814068061773
6,24.266426642664268,101.73040880745796
6,24.33843384338434,102.16245601440343
6,24.41044104410441,102.59428336362532
6,24.482448244824482,103.02589190690924
6,24.554455445544555,103.45728268580525
6,24.626462646264628,103.8884567317751
6,24.6984698469847,104.31941506633652
6,24.77047704770477,104.75015870120498
6,24.842484248424842,105.18068863843266
6,24.914491449144915,105.61100587054482
6,24.986498649864988,106.04111138067371
6,25.05850585058506,106.47100614268993
6,25.13051305130513,106.9006911213314
6,25.202520252025202,107.33016727232994
6,25.274527452745275,107.75943554253556
6,25.346534653465348,108.18849687003843
6,25.41854185418542,108.61735218428879
6,25.49054905490549,109.04600240621447
6,25.562556255625562,109.47444844833647
6,25.634563456345635,109.90269121488248
6,25.706570657065708,110.33073213326988
6,25.77857785778578,110.7585728708471
6,25.85058505850585,111.18621430530811
6,25.922592259225922,111.61365730650697
6,25.994599459945995,112.04090273656132
6,26.066606660666068,112.4679514499542
6,26.13861386138614,112.89480429363391
6,26.21062106210621,113.32146210711228
6,26.282628262826282,113.7479257225612
6,26.354635463546355,114.17419596490755
6,26.426642664266428,114.60027365192639
6,26.4986498649865,115.0261595943327
6,26.57065706570657,115.4518545958715
6,26.642664266426642,115.87735945340647
6,26.714671467146715,116.30267495700708
6,26.786678667866788,116.72780189003426
6,26.85868586858686,117.1527410292246
6,26.93069306930693,117.5774931447733
6,27.002700270027002,118.00205900041558
6,27.074707470747075,118.42643935350686
6,27.146714671467148,118.85063495510155
6,27.21872187218722,119.27464655003065
6,27.29072907290729,119.698474876978
6,27.362736273627362,120.12212066855535
6,27.434743474347435,120.54558465137622
6,27.506750675067508,120.96886754612851
6,27.57875787578758,121.39197006764606
6,27.650765076507653,121.81489292497896
6,27.722772277227723,122.23763682146281
6,27.794779477947795,122.6602024547869
6,27.866786678667868,123.0825905170612
6,27.93879387938794,123.50480169488249
6,28.010801080108013,123.92683666939928
6,28.082808280828083,124.3486961163758
6,28.154815481548155,124.77038070625507
6,28.226822682268228,125.19189110422077
6,28.2988298829883,125.61322797025845
6,28.370837083708373,126.03439195921554
6,28.442844284428443,126.45538372086065
6,28.514851485148515,126.87620389994184
6,28.586858685868588,127.29685313624402
6,28.65886588658866,127.71733206464556
6,28.730873087308733,128.13764131517397
6,28.802880288028803,128.55778151306072
6,28.874887488748875,128.9777532787954
6,28.946894689468948,129.3975572281789
6,29.01890189018902,129.81719397237583
6,29.090909090909093,130.23666411796634
6,29.162916291629163,130.6559682669969
6,29.234923492349235,131.07510701703055
6,29.306930693069308,131.494084272491
6,29.37893789378938,131.912900698416
6,29.450945094509454,132.33155687428453
6,29.522952295229523,132.7500533753195
6,29.594959495949595,133.1683907725339
6,29.666966696669668,133.58656963277647
6,29.73897389738974,134.00459051877652
6,29.810981098109814,134.42245398918837
6,29.882988298829883,134.84016059863487
6,29.954995499549955,135.25771089775054
6,30.027002700270028,135.67510543322396
6,30.0990099009901,136.09234474783963
6,30.171017101710174,136.50942938051924
6,30.243024302430243,136.9263598663623
6,30.315031503150315,137.34313673668632
6,30.387038703870388,137.75976051906628
6,30.45904590459046,138.17623173737374
6,30.531053105310534,138.59255091181527
6,30.603060306030603,139.0087185589704
6,30.675067506750676,139.42473519182903
6,30.747074707470748,139.84060131982835
6,30.81908190819082,140.25631744888932
6,30.891089108910894,140.6718840814525
6,30.963096309630963,141.0873017165136
6,31.035103510351036,141.5025708496583
6,31.10711071107111,141.91769197309688
6,31.17911791179118,142.3326655756982
6,31.251125112511254,142.74749214302324
6,31.323132313231323,143.1621721573583
6,31.395139513951396,143.57670609774766
6,31.46714671467147,143.99109444002588
6,31.53915391539154,144.40533765684958
6,31.611161116111614,144.81943621772893
6,31.683168316831683,145.23339058905864
6,31.755175517551756,145.64720123414853
6,31.82718271827183,146.06086861325377
6,31.8991899189919,146.47439318360475
6,31.971197119711974,146.88777539943646
6,32.04320432043205,147.30101571201757
6,32.11521152115212,147.7141145696791
6,32.187218721872185,148.12707241784278
6,32.25922592259226,148.53988969904893
6,32.33123312331233,148.95256685298415
6,32.4032403240324,149.36510431650854
6,32.475247524752476,149.7775025236826
6,32.54725472547255,150.18976190579386
6,32.61926192619262,150.601882891383
6,32.691269126912694,151.01386590626993
6,32.76327632763277,151.4257113735792
6,32.83528352835284,151.8374197137654
6,32.907290729072905,152.24899134463809
6,32.97929792979298,152.66042668138638
6,33.05130513051305,153.07172613660342
6,33.12331233123312,153.48289012031026
6,33.195319531953196,153.89391903997975
6,33.26732673267327,154.30481330056
6,33.33933393339334,154.7155733044974
6,33.411341134113414,155.1261994517598
6,33.48334833483349,155.53669213985876
6,33.55535553555356,155.94705176387225
6,33.627362736273625,156.35727962184467
6,33.6993699369937,156.76737905178186
6,33.77137713771377,157.1773504369802
6,33.84338433843384,157.5871941584152
6,33.915391539153916,157.99691059476237
6,33.98739873987399,158.4065001224176
6,34.05940594059406,158.81596311551772
6,34.131413141314134,159.22529994596027
6,34.20342034203421,159.63451098342358
6,34.27542754275428,160.04359659538622
6,34.347434743474345,160.45255714714642
6,34.41944194419442,160.8613930018412
6,34.49144914491449,161.2701045204653
6,34.56345634563456,161.6786920618899
6,34.635463546354636,162.08715598288106
6,34.70747074707471,162.49549663811803
6,34.77947794779478,162.9037143802113
6,34.851485148514854,163.3118095597205
6,34.92349234923493,163.71978252517195
6,34.995499549955,164.12763362307624
6,35.067506750675065,164.5353631979454
