lat_bins,long_bins,mean_standardised,Area_km2,no_krill,MP_removal_one_month,conc_change_month
"(18, 22]","(76, 84]",,371562.5812029918,,,
"(18, 22]","(84, 92]",,371562.5812029918,,,
"(18, 22]","(92, 100]",,371562.5812029918,,,
"(18, 22]","(100, 108]",,371562.5812029918,,,
"(18, 22]","(108, 116]",,371562.5812029918,,,
"(18, 22]","(116, 124]",,371562.5812029918,,,
"(18, 22]","(124, 132]",,371562.5812029918,,,
"(18, 22]","(132, 140]",,371562.5812029918,,,
"(18, 22]","(140, 148]",,371562.5812029918,,,
"(18, 22]","(148, 156]",,371562.5812029918,,,
"(18, 22]","(156, 164]",,371562.5812029918,,,
"(18, 22]","(164, 172]",,371562.5812029918,,,
"(18, 22]","(172, 180]",,371562.5812029918,,,
"(22, 26]","(-180, -172]",,361223.7669846384,,,
"(22, 26]","(-172, -164]",,361223.7669846384,,,
"(22, 26]","(-164, -156]",,361223.7669846384,,,
"(22, 26]","(-156, -148]",,361223.7669846384,,,
"(22, 26]","(-148, -140]",,361223.7669846384,,,
"(22, 26]","(-140, -132]",,361223.7669846384,,,
"(22, 26]","(-132, -124]",,361223.7669846384,,,
"(22, 26]","(-124, -116]",,361223.7669846384,,,
"(22, 26]","(-116, -108]",,361223.7669846384,,,
"(22, 26]","(-108, -100]",,361223.7669846384,,,
"(22, 26]","(-100, -92]",,361223.7669846384,,,
"(22, 26]","(-92, -84]",,361223.7669846384,,,
"(22, 26]","(-84, -76]",,361223.7669846384,,,
"(22, 26]","(-76, -68]",,361223.7669846384,,,
"(22, 26]","(-68, -60]",,361223.7669846384,,,
"(22, 26]","(-60, -52]",,361223.7669846384,,,
"(22, 26]","(-52, -44]",,361223.7669846384,,,
"(22, 26]","(-44, -36]",,361223.7669846384,,,
"(22, 26]","(-36, -28]",,361223.7669846384,,,
"(22, 26]","(-28, -20]",,361223.7669846384,,,
"(22, 26]","(-20, -12]",,361223.7669846384,,,
"(22, 26]","(-12, -4]",,361223.7669846384,,,
"(22, 26]","(-4, 4]",,361223.7669846384,,,
"(22, 26]","(4, 12]",,361223.7669846384,,,
"(22, 26]","(12, 20]",,361223.7669846384,,,
"(22, 26]","(20, 28]",,361223.7669846384,,,
"(22, 26]","(28, 36]",,361223.7669846384,,,
"(22, 26]","(36, 44]",,361223.7669846384,,,
"(22, 26]","(44, 52]",,361223.7669846384,,,
"(22, 26]","(52, 60]",,361223.7669846384,,,
"(22, 26]","(60, 68]",,361223.7669846384,,,
"(22, 26]","(68, 76]",,361223.7669846384,,,
"(22, 26]","(76, 84]",,361223.7669846384,,,
"(22, 26]","(84, 92]",,361223.7669846384,,,
"(22, 26]","(92, 100]",,361223.7669846384,,,
"(22, 26]","(100, 108]",,361223.7669846384,,,
"(22, 26]","(108, 116]",,361223.7669846384,,,
"(22, 26]","(116, 124]",,361223.7669846384,,,
"(22, 26]","(124, 132]",,361223.7669846384,,,
"(22, 26]","(132, 140]",,361223.7669846384,,,
"(22, 26]","(140, 148]",,361223.7669846384,,,
"(22, 26]","(148, 156]",,361223.7669846384,,,
"(22, 26]","(156, 164]",,361223.7669846384,,,
"(22, 26]","(164, 172]",,361223.7669846384,,,
"(22, 26]","(172, 180]",,361223.7669846384,,,
"(26, 30]","(-180, -172]",,349125.106883622,,,
"(26, 30]","(-172, -164]",,349125.106883622,,,
"(26, 30]","(-164, -156]",,349125.106883622,,,
"(26, 30]","(-156, -148]",,349125.106883622,,,
"(26, 30]","(-148, -140]",,349125.106883622,,,
"(26, 30]","(-140, -132]",,349125.106883622,,,
"(26, 30]","(-132, -124]",,349125.106883622,,,
"(26, 30]","(-124, -116]",,349125.106883622,,,
"(26, 30]","(-116, -108]",,349125.106883622,,,
"(26, 30]","(-108, -100]",,349125.106883622,,,
"(26, 30]","(-100, -92]",,349125.106883622,,,
"(26, 30]","(-92, -84]",,349125.106883622,,,
"(26, 30]","(-84, -76]",,349125.106883622,,,
"(26, 30]","(-76, -68]",,349125.106883622,,,
"(26, 30]","(-68, -60]",,349125.106883622,,,
"(26, 30]","(-60, -52]",,349125.106883622,,,
"(26, 30]","(-52, -44]",,349125.106883622,,,
"(26, 30]","(-44, -36]",,349125.106883622,,,
"(26, 30]","(-36, -28]",,349125.106883622,,,
"(26, 30]","(-28, -20]",,349125.106883622,,,
"(26, 30]","(-20, -12]",,349125.106883622,,,
"(26, 30]","(-12, -4]",,349125.106883622,,,
"(26, 30]","(-4, 4]",,349125.106883622,,,
"(26, 30]","(4, 12]",,349125.106883622,,,
"(26, 30]","(12, 20]",,349125.106883622,,,
"(26, 30]","(20, 28]",,349125.106883622,,,
"(26, 30]","(28, 36]",,349125.106883622,,,
"(26, 30]","(36, 44]",,349125.106883622,,,
"(26, 30]","(44, 52]",,349125.106883622,,,
"(26, 30]","(52, 60]",,349125.106883622,,,
"(26, 30]","(60, 68]",,349125.106883622,,,
"(26, 30]","(68, 76]",,349125.106883622,,,
"(26, 30]","(76, 84]",,349125.106883622,,,
"(26, 30]","(84, 92]",,349125.106883622,,,
"(26, 30]","(92, 100]",,349125.106883622,,,
"(26, 30]","(100, 108]",,349125.106883622,,,
"(26, 30]","(108, 116]",,349125.106883622,,,
"(26, 30]","(116, 124]",,349125.106883622,,,
"(26, 30]","(124, 132]",,349125.106883622,,,
"(26, 30]","(132, 140]",,349125.106883622,,,
"(26, 30]","(140, 148]",,349125.106883622,,,
"(26, 30]","(148, 156]",,349125.106883622,,,
"(26, 30]","(156, 164]",,349125.106883622,,,
"(26, 30]","(164, 172]",,349125.106883622,,,
"(26, 30]","(172, 180]",,349125.106883622,,,
"(30, 34]","(-180, -172]",,335325.5443558016,,,
"(30, 34]","(-172, -164]",,335325.5443558016,,,
"(30, 34]","(-164, -156]",,335325.5443558016,,,
"(30, 34]","(-156, -148]",,335325.5443558016,,,
"(30, 34]","(-148, -140]",,335325.5443558016,,,
"(30, 34]","(-140, -132]",,335325.5443558016,,,
"(30, 34]","(-132, -124]",,335325.5443558016,,,
"(30, 34]","(-124, -116]",,335325.5443558016,,,
"(30, 34]","(-116, -108]",,335325.5443558016,,,
"(30, 34]","(-108, -100]",,335325.5443558016,,,
"(30, 34]","(-100, -92]",,335325.5443558016,,,
"(30, 34]","(-92, -84]",,335325.5443558016,,,
"(30, 34]","(-84, -76]",,335325.5443558016,,,
"(30, 34]","(-76, -68]",,335325.5443558016,,,
"(30, 34]","(-68, -60]",,335325.5443558016,,,
"(30, 34]","(-60, -52]",,335325.5443558016,,,
"(30, 34]","(-52, -44]",,335325.5443558016,,,
"(30, 34]","(-44, -36]",,335325.5443558016,,,
"(30, 34]","(-36, -28]",,335325.5443558016,,,
"(30, 34]","(-28, -20]",,335325.5443558016,,,
"(30, 34]","(-20, -12]",,335325.5443558016,,,
"(30, 34]","(-12, -4]",,335325.5443558016,,,
"(30, 34]","(-4, 4]",,335325.5443558016,,,
"(30, 34]","(4, 12]",,335325.5443558016,,,
"(30, 34]","(12, 20]",,335325.5443558016,,,
"(30, 34]","(20, 28]",,335325.5443558016,,,
"(30, 34]","(28, 36]",,335325.5443558016,,,
"(30, 34]","(36, 44]",,335325.5443558016,,,
"(30, 34]","(44, 52]",,335325.5443558016,,,
"(30, 34]","(52, 60]",,335325.5443558016,,,
"(30, 34]","(60, 68]",,335325.5443558016,,,
"(30, 34]","(68, 76]",,335325.5443558016,,,
"(30, 34]","(76, 84]",,335325.5443558016,,,
"(30, 34]","(84, 92]",,335325.5443558016,,,
"(30, 34]","(92, 100]",,335325.5443558016,,,
"(30, 34]","(100, 108]",,335325.5443558016,,,
"(30, 34]","(108, 116]",,335325.5443558016,,,
"(30, 34]","(116, 124]",,335325.5443558016,,,
"(30, 34]","(124, 132]",,335325.5443558016,,,
"(30, 34]","(132, 140]",,335325.5443558016,,,
"(30, 34]","(140, 148]",,335325.5443558016,,,
"(30, 34]","(148, 156]",,335325.5443558016,,,
"(30, 34]","(156, 164]",,335325.5443558016,,,
"(30, 34]","(164, 172]",,335325.5443558016,,,
"(30, 34]","(172, 180]",,335325.5443558016,,,
"(34, 38]","(-180, -172]",,319892.3094826856,,,
"(34, 38]","(-172, -164]",,319892.3094826856,,,
"(34, 38]","(-164, -156]",,319892.3094826856,,,
"(34, 38]","(-156, -148]",,319892.3094826856,,,
"(34, 38]","(-148, -140]",,319892.3094826856,,,
"(34, 38]","(-140, -132]",,319892.3094826856,,,
"(34, 38]","(-132, -124]",,319892.3094826856,,,
"(34, 38]","(-124, -116]",,319892.3094826856,,,
"(34, 38]","(-116, -108]",,319892.3094826856,,,
"(34, 38]","(-108, -100]",,319892.3094826856,,,
"(34, 38]","(-100, -92]",,319892.3094826856,,,
"(34, 38]","(-92, -84]",,319892.3094826856,,,
"(34, 38]","(-84, -76]",,319892.3094826856,,,
"(34, 38]","(-76, -68]",,319892.3094826856,,,
"(34, 38]","(-68, -60]",,319892.3094826856,,,
"(34, 38]","(-60, -52]",,319892.3094826856,,,
"(34, 38]","(-52, -44]",,319892.3094826856,,,
"(34, 38]","(-44, -36]",,319892.3094826856,,,
"(34, 38]","(-36, -28]",,319892.3094826856,,,
"(34, 38]","(-28, -20]",,319892.3094826856,,,
"(34, 38]","(-20, -12]",,319892.3094826856,,,
"(34, 38]","(-12, -4]",,319892.3094826856,,,
"(34, 38]","(-4, 4]",,319892.3094826856,,,
"(34, 38]","(4, 12]",,319892.3094826856,,,
"(34, 38]","(12, 20]",,319892.3094826856,,,
"(34, 38]","(20, 28]",,319892.3094826856,,,
"(34, 38]","(28, 36]",,319892.3094826856,,,
"(34, 38]","(36, 44]",,319892.3094826856,,,
"(34, 38]","(44, 52]",,319892.3094826856,,,
"(34, 38]","(52, 60]",,319892.3094826856,,,
"(34, 38]","(60, 68]",,319892.3094826856,,,
"(34, 38]","(68, 76]",,319892.3094826856,,,
"(34, 38]","(76, 84]",,319892.3094826856,,,
"(34, 38]","(84, 92]",,319892.3094826856,,,
"(34, 38]","(92, 100]",,319892.3094826856,,,
"(34, 38]","(100, 108]",,319892.3094826856,,,
"(34, 38]","(108, 116]",,319892.3094826856,,,
"(34, 38]","(116, 124]",,319892.3094826856,,,
"(34, 38]","(124, 132]",,319892.3094826856,,,
"(34, 38]","(132, 140]",,319892.3094826856,,,
"(34, 38]","(140, 148]",,319892.3094826856,,,
"(34, 38]","(148, 156]",,319892.3094826856,,,
"(34, 38]","(156, 164]",,319892.3094826856,,,
"(34, 38]","(164, 172]",,319892.3094826856,,,
"(34, 38]","(172, 180]",,319892.3094826856,,,
"(38, 42]","(-180, -172]",,302900.5914332324,,,
"(38, 42]","(-172, -164]",,302900.5914332324,,,
"(38, 42]","(-164, -156]",,302900.5914332324,,,
"(38, 42]","(-156, -148]",,302900.5914332324,,,
"(38, 42]","(-148, -140]",,302900.5914332324,,,
"(38, 42]","(-140, -132]",,302900.5914332324,,,
"(38, 42]","(-132, -124]",,302900.5914332324,,,
"(38, 42]","(-124, -116]",,302900.5914332324,,,
"(38, 42]","(-116, -108]",,302900.5914332324,,,
"(38, 42]","(-108, -100]",,302900.5914332324,,,
"(38, 42]","(-100, -92]",,302900.5914332324,,,
"(38, 42]","(-92, -84]",,302900.5914332324,,,
"(38, 42]","(-84, -76]",,302900.5914332324,,,
"(38, 42]","(-76, -68]",,302900.5914332324,,,
"(38, 42]","(-68, -60]",,302900.5914332324,,,
"(38, 42]","(-60, -52]",,302900.5914332324,,,
"(38, 42]","(-52, -44]",,302900.5914332324,,,
"(38, 42]","(-44, -36]",,302900.5914332324,,,
"(38, 42]","(-36, -28]",,302900.5914332324,,,
"(38, 42]","(-28, -20]",,302900.5914332324,,,
"(38, 42]","(-20, -12]",,302900.5914332324,,,
"(38, 42]","(-12, -4]",,302900.5914332324,,,
"(38, 42]","(-4, 4]",,302900.5914332324,,,
"(38, 42]","(4, 12]",,302900.5914332324,,,
"(38, 42]","(12, 20]",,302900.5914332324,,,
"(38, 42]","(20, 28]",,302900.5914332324,,,
"(38, 42]","(28, 36]",,302900.5914332324,,,
"(38, 42]","(36, 44]",,302900.5914332324,,,
"(38, 42]","(44, 52]",,302900.5914332324,,,
"(38, 42]","(52, 60]",,302900.5914332324,,,
"(38, 42]","(60, 68]",,302900.5914332324,,,
"(38, 42]","(68, 76]",,302900.5914332324,,,
"(38, 42]","(76, 84]",,302900.5914332324,,,
"(38, 42]","(84, 92]",,302900.5914332324,,,
"(38, 42]","(92, 100]",,302900.5914332324,,,
"(38, 42]","(100, 108]",,302900.5914332324,,,
"(38, 42]","(108, 116]",,302900.5914332324,,,
"(38, 42]","(116, 124]",,302900.5914332324,,,
"(38, 42]","(124, 132]",,302900.5914332324,,,
"(38, 42]","(132, 140]",,302900.5914332324,,,
"(38, 42]","(140, 148]",,302900.5914332324,,,
"(38, 42]","(148, 156]",,302900.5914332324,,,
"(38, 42]","(156, 164]",,302900.5914332324,,,
"(38, 42]","(164, 172]",,302900.5914332324,,,
"(38, 42]","(172, 180]",,302900.5914332324,,,
"(42, 46]","(-180, -172]",,284433.1721497776,,,
"(42, 46]","(-172, -164]",,284433.1721497776,,,
"(42, 46]","(-164, -156]",,284433.1721497776,,,
"(42, 46]","(-156, -148]",,284433.1721497776,,,
"(42, 46]","(-148, -140]",,284433.1721497776,,,
"(42, 46]","(-140, -132]",,284433.1721497776,,,
"(42, 46]","(-132, -124]",,284433.1721497776,,,
"(42, 46]","(-124, -116]",,284433.1721497776,,,
"(42, 46]","(-116, -108]",,284433.1721497776,,,
"(42, 46]","(-108, -100]",,284433.1721497776,,,
"(42, 46]","(-100, -92]",,284433.1721497776,,,
"(42, 46]","(-92, -84]",,284433.1721497776,,,
"(42, 46]","(-84, -76]",,284433.1721497776,,,
"(42, 46]","(-76, -68]",,284433.1721497776,,,
"(42, 46]","(-68, -60]",,284433.1721497776,,,
"(42, 46]","(-60, -52]",,284433.1721497776,,,
"(42, 46]","(-52, -44]",,284433.1721497776,,,
"(42, 46]","(-44, -36]",,284433.1721497776,,,
"(42, 46]","(-36, -28]",,284433.1721497776,,,
"(42, 46]","(-28, -20]",,284433.1721497776,,,
"(42, 46]","(-20, -12]",,284433.1721497776,,,
"(42, 46]","(-12, -4]",,284433.1721497776,,,
"(42, 46]","(-4, 4]",,284433.1721497776,,,
"(42, 46]","(4, 12]",,284433.1721497776,,,
"(42, 46]","(12, 20]",,284433.1721497776,,,
"(42, 46]","(20, 28]",,284433.1721497776,,,
"(42, 46]","(28, 36]",,284433.1721497776,,,
"(42, 46]","(36, 44]",,284433.1721497776,,,
"(42, 46]","(44, 52]",,284433.1721497776,,,
"(42, 46]","(52, 60]",,284433.1721497776,,,
"(42, 46]","(60, 68]",,284433.1721497776,,,
"(42, 46]","(68, 76]",,284433.1721497776,,,
"(42, 46]","(76, 84]",,284433.1721497776,,,
"(42, 46]","(84, 92]",,284433.1721497776,,,
"(42, 46]","(92, 100]",,284433.1721497776,,,
"(42, 46]","(100, 108]",,284433.1721497776,,,
"(42, 46]","(108, 116]",,284433.1721497776,,,
"(42, 46]","(116, 124]",,284433.1721497776,,,
"(42, 46]","(124, 132]",,284433.1721497776,,,
"(42, 46]","(132, 140]",,284433.1721497776,,,
"(42, 46]","(140, 148]",,284433.1721497776,,,
"(42, 46]","(148, 156]",,284433.1721497776,,,
"(42, 46]","(156, 164]",,284433.1721497776,,,
"(42, 46]","(164, 172]",,284433.1721497776,,,
"(42, 46]","(172, 180]",,284433.1721497776,,,
"(46, 50]","(-180, -172]",,264580.0230427315,,,
"(46, 50]","(-172, -164]",,264580.0230427315,,,
"(46, 50]","(-164, -156]",,264580.0230427315,,,
"(46, 50]","(-156, -148]",,264580.0230427315,,,
"(46, 50]","(-148, -140]",,264580.0230427315,,,
"(46, 50]","(-140, -132]",,264580.0230427315,,,
"(46, 50]","(-132, -124]",,264580.0230427315,,,
"(46, 50]","(-124, -116]",,264580.0230427315,,,
"(46, 50]","(-116, -108]",,264580.0230427315,,,
"(46, 50]","(-108, -100]",,264580.0230427315,,,
"(46, 50]","(-100, -92]",,264580.0230427315,,,
"(46, 50]","(-92, -84]",,264580.0230427315,,,
"(46, 50]","(-84, -76]",,264580.0230427315,,,
"(46, 50]","(-76, -68]",,264580.0230427315,,,
"(46, 50]","(-68, -60]",,264580.0230427315,,,
"(46, 50]","(-60, -52]",,264580.0230427315,,,
"(46, 50]","(-52, -44]",,264580.0230427315,,,
"(46, 50]","(-44, -36]",,264580.0230427315,,,
"(46, 50]","(-36, -28]",,264580.0230427315,,,
"(46, 50]","(-28, -20]",,264580.0230427315,,,
"(46, 50]","(-20, -12]",,264580.0230427315,,,
"(46, 50]","(-12, -4]",,264580.0230427315,,,
"(46, 50]","(-4, 4]",,264580.0230427315,,,
"(46, 50]","(4, 12]",,264580.0230427315,,,
"(46, 50]","(12, 20]",,264580.0230427315,,,
"(46, 50]","(20, 28]",,264580.0230427315,,,
"(46, 50]","(28, 36]",,264580.0230427315,,,
"(46, 50]","(36, 44]",,264580.0230427315,,,
"(46, 50]","(44, 52]",,264580.0230427315,,,
"(46, 50]","(52, 60]",,264580.0230427315,,,
"(46, 50]","(60, 68]",,264580.0230427315,,,
"(46, 50]","(68, 76]",,264580.0230427315,,,
"(46, 50]","(76, 84]",,264580.0230427315,,,
"(46, 50]","(84, 92]",,264580.0230427315,,,
"(46, 50]","(92, 100]",,264580.0230427315,,,
"(46, 50]","(100, 108]",,264580.0230427315,,,
"(46, 50]","(108, 116]",,264580.0230427315,,,
"(46, 50]","(116, 124]",,264580.0230427315,,,
"(46, 50]","(124, 132]",,264580.0230427315,,,
"(46, 50]","(132, 140]",,264580.0230427315,,,
"(46, 50]","(140, 148]",,264580.0230427315,,,
"(46, 50]","(148, 156]",,264580.0230427315,,,
"(46, 50]","(156, 164]",,264580.0230427315,,,
"(46, 50]","(164, 172]",,264580.0230427315,,,
"(46, 50]","(172, 180]",,264580.0230427315,,,
"(50, 54]","(-180, -172]",,243437.86665891207,,,
"(50, 54]","(-172, -164]",,243437.86665891207,,,
"(50, 54]","(-164, -156]",,243437.86665891207,,,
"(50, 54]","(-156, -148]",,243437.86665891207,,,
"(50, 54]","(-148, -140]",,243437.86665891207,,,
"(50, 54]","(-140, -132]",,243437.86665891207,,,
"(50, 54]","(-132, -124]",,243437.86665891207,,,
"(50, 54]","(-124, -116]",,243437.86665891207,,,
"(50, 54]","(-116, -108]",,243437.86665891207,,,
"(50, 54]","(-108, -100]",,243437.86665891207,,,
"(50, 54]","(-100, -92]",,243437.86665891207,,,
"(50, 54]","(-92, -84]",,243437.86665891207,,,
"(50, 54]","(-84, -76]",,243437.86665891207,,,
"(50, 54]","(-76, -68]",,243437.86665891207,,,
"(50, 54]","(-68, -60]",,243437.86665891207,,,
"(50, 54]","(-60, -52]",,243437.86665891207,,,
"(50, 54]","(-52, -44]",,243437.86665891207,,,
"(50, 54]","(-44, -36]",,243437.86665891207,,,
"(50, 54]","(-36, -28]",,243437.86665891207,,,
"(50, 54]","(-28, -20]",,243437.86665891207,,,
"(50, 54]","(-20, -12]",,243437.86665891207,,,
"(50, 54]","(-12, -4]",,243437.86665891207,,,
"(50, 54]","(-4, 4]",,243437.86665891207,,,
"(50, 54]","(4, 12]",,243437.86665891207,,,
"(50, 54]","(12, 20]",,243437.86665891207,,,
"(50, 54]","(20, 28]",,243437.86665891207,,,
"(50, 54]","(28, 36]",,243437.86665891207,,,
"(50, 54]","(36, 44]",,243437.86665891207,,,
"(50, 54]","(44, 52]",,243437.86665891207,,,
"(50, 54]","(52, 60]",,243437.86665891207,,,
