lat_bins,long_bins,mean_standardised,Area_km2,no_krill,MP_removal_one_month,conc_change_month
"(54, 58]","(-36, -28]",,221109.70545901926,,,
"(54, 58]","(-28, -20]",,221109.70545901926,,,
"(54, 58]","(-20, -12]",,221109.70545901926,,,
"(54, 58]","(-12, -4]",,221109.70545901926,,,
"(54, 58]","(-4, 4]",,221109.70545901926,,,
"(54, 58]","(4, 12]",,221109.70545901926,,,
"(54, 58]","(12, 20]",,221109.70545901926,,,
"(54, 58]","(20, 28]",,221109.70545901926,,,
"(54, 58]","(28, 36]",,221109.70545901926,,,
"(54, 58]","(36, 44]",,221109.70545901926,,,
"(54, 58]","(44, 52]",,221109.70545901926,,,
"(54, 58]","(52, 60]",,221109.70545901926,,,
"(54, 58]","(60, 68]",,221109.70545901926,,,
"(54, 58]","(68, 76]",,221109.70545901926,,,
"(54, 58]","(76, 84]",,221109.70545901926,,,
"(54, 58]","(84, 92]",,221109.70545901926,,,
"(54, 58]","(92, 100]",,221109.70545901926,,,
"(54, 58]","(100, 108]",,221109.70545901926,,,
"(54, 58]","(108, 116]",,221109.70545901926,,,
"(54, 58]","(116, 124]",,221109.70545901926,,,
"(54, 58]","(124, 132]",,221109.70545901926,,,
"(54, 58]","(132, 140]",,221109.70545901926,,,
"(54, 58]","(140, 148]",,221109.70545901926,,,
"(54, 58]","(148, 156]",,221109.70545901926,,,
"(54, 58]","(156, 164]",,221109.70545901926,,,
"(54, 58]","(164, 172]",,221109.70545901926,,,
"(54, 58]","(172, 180]",,221109.70545901926,,,
"(58, 62]","(-180, -172]",,197704.32000000004,,,
"(58, 62]","(-172, -164]",,197704.32000000004,,,
"(58, 62]","(-164, -156]",,197704.32000000004,,,
