time_hours,mean_accum_1900,std_accum_1900,mean_accum_950,std_accum_950,mean_accum_475,std_accum_475
642.5922592259226,458.9,96.93343076565483,236.0,54.61318522115332,112.9,30.572700240574108
642.6642664266427,459.0,96.8927241850491,236.0,54.61318522115332,112.9,30.572700240574108
642.7362736273627,459.1,96.92105034511336,236.0,54.61318522115332,112.9,30.572700240574108
642.8082808280828,459.1,96.92105034511336,236.0,54.61318522115332,112.9,30.572700240574108
642.8802880288029,459.2,96.9028379357385,236.0,54.61318522115332,112.9,30.572700240574108
642.952295229523,459.2,96.9028379357385,236.1,54.57371162015645,113.0,30.59411708155671
643.0243024302431,459.2,96.9028379357385,236.1,54.57371162015645,113.0,30.59411708155671
643.0963096309631,459.2,96.9028379357385,236.1,54.57371162015645,113.1,30.428440643582114
643.1683168316832,459.3,96.86284117245374,236.1,54.57371162015645,113.1,30.428440643582114
643.2403240324032,459.3,96.86284117245374,236.1,54.57371162015645,113.1,30.428440643582114
643.3123312331234,459.4,96.84544387837768,236.2,54.55602624825236,113.1,30.428440643582114
643.3843384338434,459.4,96.84544387837768,236.2,54.55602624825236,113.1,30.428440643582114
643.4563456345635,459.5,96.97757472735643,236.2,54.55602624825236,113.1,30.428440643582114
643.5283528352835,459.8,96.91109327626017,236.2,54.55602624825236,113.1,30.428440643582114
643.6003600360036,459.8,96.91109327626017,236.2,54.55602624825236,113.1,30.428440643582114
643.6723672367237,459.8,96.91109327626017,236.2,54.55602624825236,113.1,30.428440643582114
643.7443744374438,459.9,96.94787259140863,236.2,54.55602624825236,113.2,30.31105408922626
643.8163816381639,460.0,96.93090322492615,236.2,54.55602624825236,113.2,30.31105408922626
643.8883888388839,460.0,96.93090322492615,236.3,54.51797868593442,113.2,30.31105408922626
643.960396039604,460.1,96.96024958713751,236.4,54.51091633792263,113.2,30.31105408922626
644.032403240324,460.1,96.96024958713751,236.5,54.494495134829904,113.2,30.31105408922626
644.1044104410441,460.1,96.96024958713751,236.6,54.63368924024809,113.2,30.31105408922626
644.1764176417641,460.1,96.96024958713751,236.8,54.69149842525801,113.2,30.31105408922626
644.2484248424843,460.1,96.96024958713751,236.8,54.69149842525801,113.2,30.31105408922626
644.3204320432044,460.1,96.96024958713751,236.8,54.69149842525801,113.2,30.31105408922626
644.3924392439244,460.3,97.04334083284644,236.8,54.69149842525801,113.2,30.31105408922626
644.4644464446445,460.4,97.17633456763019,236.8,54.69149842525801,113.2,30.31105408922626
644.5364536453645,460.4,97.17633456763019,236.9,54.83146906658621,113.2,30.31105408922626
644.6084608460847,460.6,97.32132345996945,236.9,54.83146906658621,113.2,30.31105408922626
644.6804680468047,460.7,97.28211551976035,236.9,54.83146906658621,113.2,30.31105408922626
644.7524752475248,460.7,97.28211551976035,236.9,54.83146906658621,113.2,30.31105408922626
644.8244824482448,460.7,97.28211551976035,236.9,54.83146906658621,113.2,30.31105408922626
644.8964896489649,460.9,97.33699194037179,236.9,54.83146906658621,113.2,30.31105408922626
644.968496849685,461.1,97.53199475044075,236.9,54.83146906658621,113.2,30.31105408922626
645.040504050405,461.1,97.53199475044075,236.9,54.83146906658621,113.2,30.31105408922626
645.1125112511252,461.2,97.51492193505567,236.9,54.83146906658621,113.3,30.325072135116184
645.1845184518452,461.4,97.51738306578986,236.9,54.83146906658621,113.3,30.325072135116184
645.2565256525653,461.4,97.51738306578986,236.9,54.83146906658621,113.3,30.325072135116184
645.3285328532853,461.5,97.47845915893419,236.9,54.83146906658621,113.3,30.325072135116184
645.4005400540054,461.5,97.47845915893419,237.0,54.67540580553564,113.3,30.325072135116184
645.4725472547254,461.6,97.51430664266654,237.0,54.67540580553564,113.3,30.325072135116184
645.5445544554456,461.6,97.51430664266654,237.0,54.67540580553564,113.3,30.325072135116184
645.6165616561657,461.6,97.51430664266654,237.0,54.67540580553564,113.3,30.325072135116184
645.6885688568857,461.6,97.51430664266654,237.1,54.816876963212714,113.3,30.325072135116184
645.7605760576058,461.6,97.51430664266654,237.2,54.835754759098556,113.3,30.325072135116184
645.8325832583258,461.6,97.51430664266654,237.3,55.023722156902465,113.3,30.325072135116184
645.904590459046,461.6,97.51430664266654,237.3,55.023722156902465,113.3,30.325072135116184
645.976597659766,461.7,97.6473757967924,237.3,55.023722156902465,113.3,30.325072135116184
646.0486048604861,461.7,97.6473757967924,237.5,55.402617266695984,113.4,30.322269044383866
646.1206120612061,461.7,97.6473757967924,237.5,55.402617266695984,113.5,30.233259830855157
646.1926192619262,461.7,97.6473757967924,237.5,55.402617266695984,113.5,30.233259830855157
646.2646264626463,461.8,97.78118428409425,237.6,55.44222217768693,113.5,30.233259830855157
646.3366336633663,461.9,97.96678008386313,237.6,55.44222217768693,113.7,30.13652269257354
646.4086408640865,461.9,97.96678008386313,237.6,55.44222217768693,113.7,30.13652269257354
646.4806480648065,462.0,97.97550714336722,237.6,55.44222217768693,113.8,30.135693122939777
646.5526552655266,462.0,97.97550714336722,237.6,55.44222217768693,113.8,30.135693122939777
646.6246624662466,462.1,97.84625695446914,237.6,55.44222217768693,113.9,30.018161169532018
646.6966696669667,462.1,97.84625695446914,237.6,55.44222217768693,113.9,30.018161169532018
646.7686768676867,462.1,97.84625695446914,237.7,55.46178864768066,113.9,30.018161169532018
646.8406840684069,462.3,98.16623655819754,237.8,55.65213383150731,113.9,30.018161169532018
646.912691269127,462.3,98.16623655819754,237.9,55.79148680578427,113.9,30.018161169532018
646.984698469847,462.4,98.20203663875816,238.1,55.76100788185235,113.9,30.018161169532018
647.0567056705671,462.4,98.20203663875816,238.1,55.76100788185235,114.0,30.033314835362415
647.1287128712871,462.5,98.33641238117241,238.2,55.743699195514466,114.0,30.033314835362415
647.2007200720072,462.6,98.20814630161797,238.2,55.743699195514466,114.0,30.033314835362415
647.2727272727273,462.7,98.34332717576724,238.2,55.743699195514466,114.1,29.918054749598948
647.3447344734474,462.7,98.34332717576724,238.2,55.743699195514466,114.1,29.918054749598948
647.4167416741674,462.7,98.34332717576724,238.2,55.743699195514466,114.2,29.959305732943815
647.4887488748875,462.9,98.40675789802243,238.2,55.743699195514466,114.2,29.959305732943815
647.5607560756076,463.1,98.2877917139255,238.2,55.743699195514466,114.2,29.959305732943815
647.6327632763276,463.1,98.2877917139255,238.2,55.743699195514466,114.2,29.959305732943815
647.7047704770478,463.1,98.2877917139255,238.2,55.743699195514466,114.2,29.959305732943815
647.7767776777678,463.1,98.2877917139255,238.2,55.743699195514466,114.2,29.959305732943815
647.8487848784879,463.1,98.2877917139255,238.3,55.73517740170924,114.2,29.959305732943815
647.9207920792079,463.1,98.2877917139255,238.3,55.73517740170924,114.2,29.959305732943815
647.992799279928,463.2,98.47314354685749,238.3,55.73517740170924,114.2,29.959305732943815
648.064806480648,463.2,98.47314354685749,238.3,55.73517740170924,114.2,29.959305732943815
648.1368136813682,463.3,98.6083667849742,238.3,55.73517740170924,114.2,29.959305732943815
648.2088208820883,463.3,98.6083667849742,238.3,55.73517740170924,114.2,29.959305732943815
648.2808280828083,463.3,98.6083667849742,238.3,55.73517740170924,114.3,30.09335474818319
648.3528352835284,463.4,98.63589610278804,238.3,55.73517740170924,114.3,30.09335474818319
648.4248424842484,463.4,98.63589610278804,238.3,55.73517740170924,114.3,30.09335474818319
648.4968496849685,463.4,98.63589610278804,238.3,55.73517740170924,114.3,30.09335474818319
648.5688568856885,463.5,98.59639952858319,238.3,55.73517740170924,114.3,30.09335474818319
648.6408640864087,463.6,98.6328545668227,238.3,55.73517740170924,114.4,30.137020423392887
648.7128712871287,463.6,98.6328545668227,238.3,55.73517740170924,114.4,30.137020423392887
648.7848784878488,463.7,98.50588814888174,238.3,55.73517740170924,114.5,30.15708871890654
648.8568856885689,463.7,98.50588814888174,238.3,55.73517740170924,114.5,30.15708871890654
648.9288928892889,463.7,98.50588814888174,238.3,55.73517740170924,114.5,30.15708871890654
649.000900090009,463.7,98.50588814888174,238.3,55.73517740170924,114.5,30.15708871890654
649.0729072907291,463.7,98.50588814888174,238.3,55.73517740170924,114.5,30.15708871890654
649.1449144914492,463.7,98.50588814888174,238.4,55.68518654004852,114.5,30.15708871890654
649.2169216921692,463.8,98.64157338566736,238.5,55.66911172274981,114.5,30.15708871890654
649.2889288928893,463.8,98.64157338566736,238.5,55.66911172274981,114.5,30.15708871890654
649.3609360936093,463.9,98.65034211800788,238.6,55.859108478385146,114.5,30.15708871890654
649.4329432943294,464.2,98.69022241336778,238.6,55.859108478385146,114.5,30.15708871890654
649.5049504950496,464.4,98.51314633083241,238.7,55.89821106260915,114.5,30.15708871890654
649.5769576957696,464.4,98.51314633083241,238.7,55.89821106260915,114.5,30.15708871890654
649.6489648964897,464.5,98.52233249370418,238.7,55.89821106260915,114.5,30.15708871890654
649.7209720972097,464.6,98.65819783474662,238.8,56.088858073596036,114.5,30.15708871890654
649.7929792979298,464.7,98.79478731188199,238.8,56.088858073596036,114.5,30.15708871890654
649.8649864986498,464.7,98.79478731188199,238.8,56.088858073596036,114.6,30.18012591093682
649.93699369937,464.8,98.80465576074845,238.9,56.129225898813175,114.6,30.18012591093682
650.00900090009,464.9,98.81543401716151,239.0,56.114169333600586,114.6,30.18012591093682
650.0810081008101,465.0,99.0,239.0,56.114169333600586,114.6,30.18012591093682
650.1530153015302,465.0,99.0,239.0,56.114169333600586,114.6,30.18012591093682
650.2250225022502,465.0,99.0,239.0,56.114169333600586,114.6,30.18012591093682
650.2970297029703,465.0,99.0,239.0,56.114169333600586,114.6,30.18012591093682
650.3690369036904,465.0,99.0,239.0,56.114169333600586,114.6,30.18012591093682
650.4410441044105,465.0,99.0,239.0,56.114169333600586,114.6,30.18012591093682
650.5130513051305,465.1,98.94892621954014,239.0,56.114169333600586,114.6,30.18012591093682
650.5850585058506,465.1,98.94892621954014,239.0,56.114169333600586,114.6,30.18012591093682
650.6570657065706,465.5,98.82737475011668,239.1,56.106060278725685,114.6,30.18012591093682
650.7290729072907,465.6,98.7868412289815,239.2,55.95140748899888,114.6,30.18012591093682
650.8010801080109,465.8,98.47111251529557,239.2,55.95140748899888,114.7,30.206125206653038
650.8730873087309,465.9,98.4819272760236,239.2,55.95140748899888,114.8,30.376964957019652
650.945094509451,465.9,98.4819272760236,239.2,55.95140748899888,114.8,30.376964957019652
651.017101710171,465.9,98.4819272760236,239.2,55.95140748899888,114.8,30.376964957019652
651.0891089108911,465.9,98.4819272760236,239.3,56.142764449214646,114.8,30.376964957019652
651.1611161116111,465.9,98.4819272760236,239.3,56.142764449214646,114.9,30.421867135335397
651.2331233123313,466.0,98.61845669041875,239.3,56.142764449214646,114.9,30.421867135335397
651.3051305130514,466.1,98.65338311482277,239.3,56.142764449214646,114.9,30.421867135335397
651.3771377137714,466.1,98.65338311482277,239.3,56.142764449214646,114.9,30.421867135335397
651.4491449144915,466.3,98.58301070671355,239.4,56.335069006791855,114.9,30.421867135335397
651.5211521152115,466.5,98.59944218909152,239.4,56.335069006791855,114.9,30.421867135335397
651.5931593159316,466.5,98.59944218909152,239.4,56.335069006791855,114.9,30.421867135335397
651.6651665166517,466.5,98.59944218909152,239.5,56.32805695210869,114.9,30.421867135335397
651.7371737173718,466.5,98.59944218909152,239.5,56.32805695210869,114.9,30.421867135335397
651.8091809180918,466.6,98.6105471032384,239.5,56.32805695210869,114.9,30.421867135335397
651.8811881188119,466.6,98.6105471032384,239.5,56.32805695210869,114.9,30.421867135335397
651.953195319532,466.6,98.6105471032384,239.5,56.32805695210869,114.9,30.421867135335397
652.025202520252,466.6,98.6105471032384,239.5,56.32805695210869,114.9,30.421867135335397
652.0972097209722,466.7,98.62256334125574,239.6,56.2088960930563,114.9,30.421867135335397
652.1692169216922,466.7,98.62256334125574,239.6,56.2088960930563,114.9,30.421867135335397
652.2412241224123,467.0,98.5230937394883,239.6,56.2088960930563,114.9,30.421867135335397
652.3132313231323,467.0,98.5230937394883,239.6,56.2088960930563,115.0,30.43681980759488
652.3852385238524,467.0,98.5230937394883,239.6,56.2088960930563,115.0,30.43681980759488
652.4572457245724,467.0,98.5230937394883,239.6,56.2088960930563,115.0,30.43681980759488
652.5292529252926,467.1,98.54993658039562,239.6,56.2088960930563,115.0,30.43681980759488
