,Area,Mean,Min,Max,Angle ,Length 
125,0.008,136.672,122.333,164.49,-8.366,0.363
126,0.015,151.282,134.515,190.831,7.883,0.694
127,0.009,136.966,126.406,157.833,143.427,0.408
128,0.009,169.502,153.093,204.333,-5.856,0.414
129,0.019,140.529,132.156,163.374,-29.055,0.871
130,0.025,122.282,95.333,140.879,-6.74,1.171
131,0.014,115.198,100.322,158.667,-35.218,0.66
132,0.012,146.458,138.935,157.514,-65.376,0.558
133,0.023,140.943,127.665,164.975,-107.021,1.083
134,0.01,114.573,95.461,152,18.435,0.435
135,0.012,129.746,103.647,172.001,-34.624,0.54
136,0.028,141.22,132.648,171.56,18.285,1.28
137,0.016,132.503,126.386,151.333,23.305,0.748
138,0.013,128.49,120.19,154.25,-20.674,0.599
139,0.019,147.313,128,163.15,27.181,0.879
140,0.015,172.183,146.667,190.201,-122.196,0.675
141,0.012,143.421,125.833,157.904,-90,0.539
142,0.013,131.39,102.667,152.738,3.066,0.593
143,0.027,112.489,103.618,136.188,6.234,1.265
144,0.03,128.698,118.207,180.25,166.908,1.4
145,0.015,139.137,112.833,175.674,-11.842,0.67
146,0.012,150.326,118.167,159.589,-72.979,0.542
147,0.023,118.116,95,135.334,28.106,1.055
148,0.028,137.458,80.027,179.33,-125.647,1.288
149,0.015,129.695,70.833,140.391,-66.218,0.682
150,0.019,131.539,120.917,151.095,27.181,0.879
151,0.014,149.579,117,162.242,145.008,0.645
152,0.023,121.948,99.333,160.773,30.174,1.052
153,0.016,155.155,128.667,175.06,-109.983,0.742
154,0.014,134.627,105.667,154.223,-147.319,0.666
155,0.019,131.63,121.5,170.669,-90.69,0.877
156,0.013,144.904,115.25,158.65,164.745,0.603
157,0.01,153.819,141.75,171.212,169.695,0.473
158,0.019,124.945,108.888,146.083,-155.898,0.88
159,0.019,95.715,87.167,113.167,16.699,0.883
160,0.014,141.365,132.5,166.881,-155.158,0.629
161,0.029,94.506,51.634,164.426,-21.801,1.366
162,0.014,135.986,122.241,150.116,-130.272,0.665
163,0.009,131.325,114.891,148.323,14.744,0.415
164,0.016,144.492,117.745,165.889,-146.622,0.717
165,0.007,147.358,140.077,156.778,-91.397,0.289
166,0.013,130.686,122.593,141.155,-68.682,0.62
167,0.01,132.879,115.972,182.854,-41.923,0.464
168,0.008,151.196,133.933,184.231,-126.027,0.383
169,0.01,144.051,132.487,171.579,-28.474,0.473
170,0.021,160.608,122.357,195.028,-108.693,0.989
171,0.021,158.405,133.659,183.374,-58.686,0.99
172,0.013,193.385,167.222,204.817,-11.712,0.59
173,0.01,147.183,98.611,186.063,126.501,0.438
174,0.011,147.088,133.355,161.25,128.66,0.508
175,0.016,112.353,87.325,130.277,-144.033,0.738
176,0.021,119.697,98.882,135.138,-4.351,0.975
177,0.009,110.92,103.273,140.667,-161.075,0.391
178,0.011,138.751,124.095,187.338,1.206,0.502
179,0.008,134.918,121.463,174,14.036,0.37
180,0.01,150.648,135.753,173.904,19.047,0.47
181,0.016,161.826,102.833,182.101,34.037,0.727
182,0.009,158.834,145.883,189.041,17.987,0.428
183,0.014,131.181,106.438,161.833,113.385,0.639
184,0.021,136.1,118,162,3.536,0.943
185,0.009,172.939,159.062,187.183,-111.666,0.415
186,0.012,145.65,90.861,158.061,159.274,0.558
187,0.009,137.919,125.727,155.222,-177.039,0.409
188,0.019,150.394,127.897,183.333,-137.426,0.883
189,0.015,158.875,147.002,190.979,-32.25,0.7
190,0.028,160.866,130.917,248.907,138.96,1.299
191,0.016,141.032,124.289,175.249,153.435,0.725
192,0.02,145.821,107.352,160.229,-171.051,0.906
193,0.022,154.98,115.917,173.675,-11.004,1.034
194,0.016,136.12,127.906,151.977,-130.601,0.715
195,0.02,136.522,101.5,179.574,-13.092,0.933
